cohort,domain,construct,variable,role,direction,harmonization_action,baseline_women50_rows,nonmissing,nonmissing_pct,sample_values,variable_label
SHARE,cognitive,memory_orientation,orient,primary,higher_better,Reverse standardized memory/orientation/numeracy scores; combine only after confirming comparable construction.,15814,15724,99.43,4|3|1|2|0,认知/正确报告日期4分
SHARE,cognitive,memory_orientation,numer_s,primary,higher_better,Reverse standardized memory/orientation/numeracy scores; combine only after confirming comparable construction.,15814,15680,99.15,5|2|3|4|1,认知/数学表现能力5分
SHARE,cognitive,dementia_indicator,alzdeme,supporting,higher_worse,Do not use as a direct substitute for continuous cognition in the primary class model.,15814,0,0.0,,医生是否曾诊断阿尔茨海默病或痴呆症
SHARE,affective,depressive_symptoms,eurod,primary,higher_worse,Use depressive symptom score or indicator; standardize within cohort/wave.,15814,15814,100.0,2|4|1|3|0|5|9|6,EURO-D(12分)
SHARE,affective,psychological_or_life_satisfaction,psyche,supporting,label_check_required,Use only after label/range checks; not a direct replacement for CES-D in primary models.,15814,0,0.0,,医生是否曾诊断情感或情绪障碍
SHARE,affective,psychological_or_life_satisfaction,satlifez,supporting,label_check_required,Use only after label/range checks; not a direct replacement for CES-D in primary models.,15814,0,0.0,,生活满意度z评分
SHARE,cardiometabolic_chronic,chronic_disease_indicators,hibpe,primary,higher_worse,Create count/proportion of available chronic cardiometabolic conditions.,15814,15740,99.53,0|1,医生是否曾诊断高血压
SHARE,cardiometabolic_chronic,chronic_disease_indicators,diabe,primary,higher_worse,Create count/proportion of available chronic cardiometabolic conditions.,15814,15740,99.53,0|1,医生是否曾诊断糖尿病或高血糖
SHARE,cardiometabolic_chronic,chronic_disease_indicators,hearte,primary,higher_worse,Create count/proportion of available chronic cardiometabolic conditions.,15814,15740,99.53,0|1,医生是否曾诊断心脏病发作
SHARE,cardiometabolic_chronic,chronic_disease_indicators,stroke,primary,higher_worse,Create count/proportion of available chronic cardiometabolic conditions.,15814,15740,99.53,0|1,医生是否曾诊断中风或脑血管疾病
SHARE,cardiometabolic_chronic,chronic_disease_indicators,hchole,primary,higher_worse,Create count/proportion of available chronic cardiometabolic conditions.,15814,15740,99.53,0|1,医生是否曾诊断高血胆固醇
SHARE,cardiometabolic_chronic,chronic_disease_indicators,cancre,primary,higher_worse,Create count/proportion of available chronic cardiometabolic conditions.,15814,15740,99.53,0|1,医生是否曾诊断癌症或恶性肿瘤
SHARE,cardiometabolic_chronic,anthropometry_blood_pressure,bmi,supporting,continuous_risk_check,Use as secondary cardiometabolic severity components after cohort-specific range checks.,15814,15324,96.9,23.7228107452393|34.0490303039551|30.8012504577637|21.3039493560791|24.3417568206787|25.806453704834|21.0961894989014|34.2935523986816,自报BMI
